epoch,train_loss_mse,val_mae
30,0.053604911020311126,8.755723599025181
31,0.05300593062093223,8.837222943987165
32,0.05128131578438473,8.806576837812152
33,0.05067649646832125,8.879217883518765
34,0.05003295962556,8.907650021144322
35,0.04955366011844934,8.842849894932337
36,0.04886498903162288,8.854979106358119
37,0.04852833303820043,8.907886832101005
38,0.04863110965077024,8.878207070486885
39,0.04802223501631813,8.895957783290319
40,0.04767287451855458,8.920924867902484
41,0.04764344845048703,8.972227096557617
42,0.04750698524778777,8.910529572623117
43,0.04729100602277874,8.898555483136859
44,0.04711245137681491,8.900642939976283
45,0.04710618628488079,8.92195679800851
46,0.04688440236079432,8.926000486101422
47,0.046804904747400844,8.91643259865897
48,0.04680895421953097,8.92735642024449
49,0.046828440098214325,8.918147550310408
50,0.046696899499553836,8.944013350350517
51,0.046530750056687935,8.935004588535854
52,0.04650355739532596,8.94042306627546
53,0.04647715313591226,8.940767642429897
54,0.04644431943332192,8.951288849966867
55,0.046393565983124024,8.964181191580636
56,0.04635559579860555,8.965058081490653
57,0.046321548371963256,8.962377493722098
58,0.04629610613477926,8.960262271336147
59,0.04627195393571453,8.958136258806501
60,0.04625770563164549,8.954043361118861
61,0.046249983859432006,8.952406202043806
62,0.046219825608669406,8.952292851039342
63,0.04619912121336173,8.953285271780832
64,0.04619540480801659,8.95256483895438
65,0.04618188479140292,8.953606932503837
66,0.04617500843575401,8.9547789982387
67,0.04616054620620978,8.955804361615861
68,0.0461525133926503,8.956221389770509
69,0.04614904883188488,8.95814162663051
70,0.04614419624698858,8.958221735273089
71,0.046143101569074786,8.958365740094866
72,0.0461331306528436,8.958576365879603
73,0.0461294933555335,8.958583641052247
74,0.04612956889463167,8.957456588745117
75,0.04612070550448703,8.957849611554828
76,0.04611688719749668,8.95778797694615
77,0.04611627847282556,8.957141658238003
78,0.046111942289301946,8.956771578107562
79,0.04610863458501161,8.956441007341658
80,0.04610689875608596,8.956251035417829
81,0.046103403094584924,8.95652127947126
82,0.04610183836389197,8.956438282557896
83,0.04610018089522411,8.956526020595005
84,0.046098944669874915,8.95641108921596
85,0.04609685268824118,8.956373405456542
86,0.04609587324280156,8.956261607578822
87,0.04609507391650746,8.956426293509347
88,0.04609422393850166,8.956500952584403
89,0.04609487381131545,8.956683594839914
90,0.04609293494727055,8.956521524701799
91,0.04609207681169475,8.95656978062221
92,0.046091194692863165,8.956626892089844
93,0.046090736386984806,8.956544549124581
94,0.04609061948900675,8.956460407802037
95,0.04609060020994966,8.956507219587053
96,0.04608962404793197,8.95660422188895
97,0.04608994733243093,8.956772695268903
98,0.046088820200984496,8.95675048828125
99,0.04608887729037852,8.956790978567941
100,0.04608848090725441,8.95680046081543
